Training Data Percentage,Train Time,Test Time
0.01,0.0125639438629,0.310559034348
0.04,0.0871760845184,0.0733749866486
0.07,0.0298070907593,0.252784013748
0.1,0.0596990585327,0.170911073685
0.13,0.065083026886,0.161587953568
0.16,0.125880002975,0.0537669658661
0.19,0.211267948151,0.137278079987
0.22,0.162713050842,0.12921500206
0.25,0.150988101959,0.0890209674835
0.28,0.0941138267517,0.0166790485382
0.31,0.352311134338,0.0242779254913
0.34,0.446264982224,0.107230901718
0.37,0.65762591362,0.0186991691589
0.4,0.394632101059,0.0159819126129
0.43,0.427435159683,0.0118789672852
0.46,0.31334400177,0.017352104187
0.49,0.693190813065,0.0172550678253
0.52,0.647871017456,0.0100300312042
0.55,0.590535879135,0.00878310203552
0.58,0.539216041565,0.0100169181824
0.61,0.62460899353,0.0105881690979
0.64,0.481437921524,0.0065450668335
0.67,0.644556999207,0.00987911224365
0.7,0.482730865479,0.0067720413208
0.73,0.835840940475,0.00602388381958
0.76,0.433563947678,0.00423908233643
0.79,0.51270198822,0.0040910243988
0.82,0.549238920212,0.00390195846558
0.85,0.636255025864,0.00274395942688
0.88,0.611258029938,0.00223398208618
0.91,1.45668697357,0.00200700759888
0.94,0.739617824554,0.00673604011536
0.97,1.16249489784,0.000817060470581
