Training Data Percentage,Train Time,Test Time
0.01,0.00281691551208,0.00206708908081
0.02,0.00513911247253,0.00282382965088
0.03,0.00598192214966,0.00283312797546
0.04,0.00407695770264,0.00276517868042
0.05,0.00499200820923,0.00274896621704
0.06,0.00441408157349,0.00272488594055
0.07,0.0045440196991,0.00269103050232
0.08,0.00642204284668,0.00266599655151
0.09,0.0105030536652,0.00263595581055
0.1,0.00609016418457,0.0026319026947
0.11,0.00751304626465,0.0140159130096
0.12,0.00673294067383,0.00608491897583
0.13,0.0131850242615,0.00254511833191
0.14,0.00671815872192,0.00622177124023
0.15,0.00685405731201,0.00353002548218
0.16,0.00983309745789,0.00245690345764
0.17,0.00861001014709,0.00242805480957
0.18,0.013662815094,0.0032320022583
0.19,0.0138320922852,0.00237584114075
0.2,0.0195031166077,0.00235295295715
0.21,0.0181121826172,0.00235104560852
0.22,0.00903391838074,0.00229907035828
0.23,0.0110890865326,0.0022668838501
0.24,0.0171189308167,0.00222110748291
0.25,0.0213308334351,0.00220108032227
0.26,0.0151000022888,0.00217390060425
0.27,0.0200650691986,0.00216603279114
0.28,0.0156650543213,0.00212407112122
0.29,0.013463973999,0.00210309028625
0.3,0.0233900547028,0.00207090377808
0.31,0.0334839820862,0.00204610824585
0.32,0.0190207958221,0.00202512741089
0.33,0.0116608142853,0.00199103355408
0.34,0.0220921039581,0.00195789337158
0.35,0.0272870063782,0.00193905830383
0.36,0.0305550098419,0.00192499160767
0.37,0.0192489624023,0.0019109249115
0.38,0.0165040493011,0.00187110900879
0.39,0.0226409435272,0.0018298625946
0.4,0.019898891449,0.00181198120117
0.41,0.0231719017029,0.00178217887878
0.42,0.020327091217,0.00174903869629
0.43,0.0267660617828,0.00172805786133
0.44,0.0359749794006,0.00169801712036
0.45,0.0224890708923,0.00166702270508
0.46,0.0262150764465,0.00165796279907
0.47,0.0194110870361,0.00163388252258
0.48,0.0339620113373,0.0163569450378
0.49,0.0163760185242,0.00157594680786
0.5,0.0236310958862,0.00153183937073
0.51,0.0515828132629,0.00256013870239
0.52,0.0224349498749,0.00319719314575
0.53,0.0179600715637,0.00775909423828
0.54,0.0226149559021,0.00720405578613
0.55,0.0432260036469,0.00145888328552
0.56,0.0525460243225,0.00970005989075
0.57,0.026918888092,0.00135517120361
0.58,0.0227708816528,0.00133609771729
0.59,0.0272719860077,0.00130009651184
0.6,0.0359480381012,0.00126600265503
0.61,0.0246059894562,0.00124597549438
0.62,0.0340421199799,0.0012149810791
0.63,0.038843870163,0.00118899345398
0.64,0.0307040214539,0.00339603424072
0.65,0.0394868850708,0.00113606452942
0.66,0.0350139141083,0.00110793113708
0.67,0.0257430076599,0.00107789039612
0.68,0.0456819534302,0.00105404853821
0.69,0.0375280380249,0.00103402137756
0.7,0.0327799320221,0.00457096099854
0.71,0.0228412151337,0.000970840454102
0.72,0.0383329391479,0.000943899154663
0.73,0.0333008766174,0.000914096832275
0.74,0.0443251132965,0.000887870788574
0.75,0.0390679836273,0.000864028930664
0.76,0.02867603302,0.000847101211548
0.77,0.0341689586639,0.000813007354736
0.78,0.0359721183777,0.000783920288086
0.79,0.0475788116455,0.000758171081543
0.8,0.0423810482025,0.000729084014893
0.81,0.048122882843,0.000697135925293
0.82,0.0427169799805,0.000779151916504
0.83,0.0492761135101,0.000642776489258
0.84,0.0503890514374,0.00116896629333
0.85,0.0436360836029,0.000597953796387
0.86,0.0319528579712,0.000559091567993
0.87,0.0458099842072,0.000536918640137
0.88,0.0398399829865,0.000504970550537
0.89,0.0400049686432,0.00047492980957
0.9,0.0424659252167,0.00029993057251
0.91,0.0349998474121,0.000283002853394
0.92,0.0227439403534,0.000271081924438
0.93,0.0354399681091,0.000247001647949
0.94,0.0355517864227,0.000224113464355
0.95,0.0325739383698,0.000209093093872
0.96,0.0283498764038,0.000189065933228
0.97,0.0240838527679,0.000169992446899
0.98,0.0286340713501,0.000152826309204
0.99,0.0287380218506,0.000133037567139
