mean_fit_time,mean_score_time,mean_test_score,param_SVM__C,param_SVM__cache_size,param_SVM__coef0,param_SVM__degree,param_SVM__gamma,param_SVM__kernel,param_SVM__max_iter,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score
0.0631105899811,0.0219527085622,0.166666666667,0.001,200,0,2,0.10000000000000001,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 0.10000000000000001, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00598459135127,0.00107954465893,3.5889886836e-17
0.0991520881653,0.038089911143,0.166666666667,0.001,200,0,2,0.10000000000000001,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 0.10000000000000001, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00462591311666,0.000882171345613,3.5889886836e-17
0.0452443758647,0.0187813440959,0.21381327733,0.001,200,0,2,1.0,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 1.0, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.00169431538054,0.000649031086568,0.0032663723716
0.0736489295959,0.0229337215424,0.182588817844,0.001,200,0,2,1.0,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 1.0, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",975,0.1732124637,0.18970228112,0.184898704316,0.00189236409337,0.00242144428815,0.00693265329828
0.0978693167369,0.0359716415405,0.166666666667,0.001,200,0,2,1.0,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 1.0, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00521587253425,0.00195297496399,3.5889886836e-17
0.0503889719645,0.0219979286194,0.21381327733,0.001,200,0,2,10.0,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 10.0, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.00833000228604,0.00380318203519,0.0032663723716
0.127362966537,0.0201919873556,0.234886269987,0.001,200,0,2,10.0,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 10.0, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",497,0.238624548518,0.221030349728,0.245029669574,0.00365104083439,0.00109662334225,0.0101405497134
0.105847994486,0.0395379861196,0.166666666667,0.001,200,0,2,10.0,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 10.0, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00258392720143,0.00218116770563,3.5889886836e-17
0.0439802805583,0.020623366038,0.21381327733,0.001,200,0,2,100.0,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 100.0, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.00155565607522,0.0021923633859,0.0032663723716
0.179185708364,0.0211273034414,0.233176444226,0.001,200,0,2,100.0,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 100.0, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",519,0.256054191519,0.225040606827,0.218282638005,0.0154459289812,0.00146580342656,0.0164582437955
0.0984110037486,0.0350387096405,0.166666666667,0.001,200,0,2,100.0,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 100.0, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00278653619599,0.00200515915946,3.5889886836e-17
0.0489329497019,0.019954363505,0.21381327733,0.001,200,0,2,1000.0,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 1000.0, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.00676131006021,0.00370866341506,0.0032663723716
0.166920582453,0.0184050401052,0.226753181743,0.001,200,0,2,1000.0,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 1000.0, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",772,0.243685541087,0.239067762809,0.197319783863,0.00542339693147,0.000639766136239,0.0208354481479
0.0822520256042,0.0278499126434,0.166666666667,0.001,200,0,2,1000.0,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 2, 'SVM__gamma': 1000.0, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00220596131188,0.0018911676397,3.5889886836e-17
0.0435819625854,0.0194533665975,0.21381327733,0.001,200,0,3,1.0000000000000001e-05,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 1.0000000000000001e-05, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.000649752876379,0.000441781942773,0.0032663723716
0.0490562915802,0.0217169920603,0.166666666667,0.001,200,0,3,1.0000000000000001e-05,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 1.0000000000000001e-05, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00206275627557,0.000910021455291,3.5889886836e-17
0.0916609764099,0.0371960798899,0.166666666667,0.001,200,0,3,1.0000000000000001e-05,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 1.0000000000000001e-05, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.002152006148,0.00216133259798,3.5889886836e-17
0.0458530584971,0.0189893245697,0.21381327733,0.001,200,0,3,0.0001,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.0001, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.00348706686573,0.000719751718083,0.0032663723716
0.0473136107127,0.0220164457957,0.166666666667,0.001,200,0,3,0.0001,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.0001, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.000447848018378,0.00217861939677,3.5889886836e-17
0.0899209976196,0.038897673289,0.166666666667,0.001,200,0,3,0.0001,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.0001, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00227570100377,0.00215618014401,3.5889886836e-17
0.0430836677551,0.0201423168182,0.21381327733,0.001,200,0,3,0.001,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.001, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.00154610270192,0.00132810007504,0.0032663723716
0.0513276259104,0.0206883748372,0.166666666667,0.001,200,0,3,0.001,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.001, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.000202007972395,0.00056486442973,3.5889886836e-17
0.0902589162191,0.0365696748098,0.166666666667,0.001,200,0,3,0.001,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00209246841646,8.13438009989e-05,3.5889886836e-17
0.042006333669,0.0184186299642,0.21381327733,0.001,200,0,3,0.01,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.01, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.000891672743175,0.000657553782657,0.0032663723716
0.0470543702443,0.0202009677887,0.166666666667,0.001,200,0,3,0.01,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.01, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00265088243895,0.000435596986095,3.5889886836e-17
0.0937034289042,0.0359353224436,0.166666666667,0.001,200,0,3,0.01,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00189740757666,0.000539009741356,3.5889886836e-17
0.0461002985636,0.0190840562185,0.21381327733,0.001,200,0,3,0.10000000000000001,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.10000000000000001, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.00269995902988,0.000771246437825,0.0032663723716
0.0564324061076,0.0213755766551,0.167571471321,0.001,200,0,3,0.10000000000000001,poly,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.10000000000000001, 'SVM__kernel': 'poly', 'SVM__cache_size': 200}",990,0.16734557727,0.166804463027,0.168569294783,0.00152592711488,0.000765518590803,0.000737378860501
0.0963719685872,0.0355263551076,0.166666666667,0.001,200,0,3,0.10000000000000001,rbf,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 0.10000000000000001, 'SVM__kernel': 'rbf', 'SVM__cache_size': 200}",998,0.166666666667,0.166666666667,0.166666666667,0.00185878256232,0.000937241080316,3.5889886836e-17
0.0432995955149,0.0192920366923,0.21381327733,0.001,200,0,3,1.0,linear,3000,"{'SVM__max_iter': 3000, 'SVM__coef0': 0, 'SVM__C': 0.001, 'SVM__degree': 3, 'SVM__gamma': 1.0, 'SVM__kernel': 'linear', 'SVM__cache_size': 200}",909,0.216568558198,0.215629650627,0.209212039309,0.00266723550104,0.00218371992147,0.0032663723716
