mean_fit_time,mean_score_time,mean_test_score,param_ADA__base_estimator__class_weight,param_ADA__base_estimator__criterion,param_ADA__base_estimator__max_depth,param_ADA__learning_rate,param_ADA__n_estimators,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,std_fit_time,std_score_time,std_test_score
0.00911629199982,0.00108617544174,0.67524980056,balanced,gini,1,0.20000000000000004,2,"{'ADA__learning_rate': 0.20000000000000004, 'ADA__n_estimators': 2, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",301,0.734869976359,0.715876777251,0.67345971564,0.576442229122,6.68470807958e-05,3.90338527087e-05,0.0611504739172
0.0139157772064,0.00110626220703,0.693539509829,balanced,gini,1,0.20000000000000004,5,"{'ADA__learning_rate': 0.20000000000000004, 'ADA__n_estimators': 5, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",127,0.755673758865,0.742180094787,0.707740916272,0.56814839026,0.000477568810144,0.000103782350479,0.0743722735037
0.0185983777046,0.00124526023865,0.711842203196,balanced,gini,1,0.20000000000000004,7,"{'ADA__learning_rate': 0.20000000000000004, 'ADA__n_estimators': 7, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",47,0.7463356974,0.754107424961,0.705371248025,0.641322111456,0.00165786816414,4.05966706115e-05,0.0446730808755
0.0489050149918,0.00268280506134,0.716721767414,balanced,gini,1,0.20000000000000004,15,"{'ADA__learning_rate': 0.20000000000000004, 'ADA__n_estimators': 15, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",29,0.776004728132,0.735071090047,0.692259083728,0.663302827259,0.0086930712462,0.000661622951598,0.0427335795094
0.0653312206268,0.0033792257309,0.712259547545,balanced,gini,1,0.20000000000000004,20,"{'ADA__learning_rate': 0.20000000000000004, 'ADA__n_estimators': 20, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",45,0.776004728132,0.735071090047,0.675592417062,0.662117993136,0.0154724513764,0.000875803942628,0.0459507781492
0.00326067209244,0.000596523284912,0.67524980056,balanced,gini,1,0.25000000000000006,1,"{'ADA__learning_rate': 0.25000000000000006, 'ADA__n_estimators': 1, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",301,0.734869976359,0.715876777251,0.67345971564,0.576442229122,6.15642696499e-05,3.5723028335e-06,0.0611504739172
0.0103279352188,0.0011864900589,0.67524980056,balanced,gini,1,0.25000000000000006,2,"{'ADA__learning_rate': 0.25000000000000006, 'ADA__n_estimators': 2, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",301,0.734869976359,0.715876777251,0.67345971564,0.576442229122,0.00482473091707,0.000500244693045,0.0611504739172
0.0237642526627,0.00182771682739,0.693519855548,balanced,gini,1,0.25000000000000006,5,"{'ADA__learning_rate': 0.25000000000000006, 'ADA__n_estimators': 5, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",129,0.753309692671,0.756398104265,0.695813586098,0.56814839026,0.00301234415648,0.000339821882412,0.0761985873418
0.0308774709702,0.00194281339645,0.693547789279,balanced,gini,1,0.25000000000000006,7,"{'ADA__learning_rate': 0.25000000000000006, 'ADA__n_estimators': 7, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",125,0.762884160757,0.745734597156,0.694628751975,0.570518058506,0.00216286205216,7.20770507033e-05,0.0752423204924
0.055425465107,0.00283950567245,0.714027348055,balanced,gini,1,0.25000000000000006,15,"{'ADA__learning_rate': 0.25000000000000006, 'ADA__n_estimators': 15, 'ADA__base_estimator__max_depth': 1, 'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'gini'}",40,0.76524822695,0.736255924171,0.692259083728,0.662117993136,0.00861915632512,0.000537681930975,0.039642052814
