Training Data Percentage,Train Time,Test Time
0.01,0.000885963439941,0.000432968139648
0.02,0.000935077667236,0.000427961349487
0.03,0.00136780738831,0.000552177429199
0.04,0.00185608863831,0.000458955764771
0.05,0.00221991539001,0.000484943389893
0.06,0.00259304046631,0.000505924224854
0.07,0.00259399414062,0.000468015670776
0.08,0.0031681060791,0.000514030456543
0.09,0.0034019947052,0.000488042831421
0.1,0.00370287895203,0.000472068786621
0.11,0.00403094291687,0.000468015670776
0.12,0.00442314147949,0.000581979751587
0.13,0.00413703918457,0.000473976135254
0.14,0.00437688827515,0.000473976135254
0.15,0.0047299861908,0.000485897064209
0.16,0.00503396987915,0.000468969345093
0.17,0.00571894645691,0.000473976135254
0.18,0.00609302520752,0.000491142272949
0.19,0.0062370300293,0.000571966171265
0.2,0.00688505172729,0.000602006912231
0.21,0.00710797309875,0.000517845153809
0.22,0.00789308547974,0.000556945800781
0.23,0.0076208114624,0.000488042831421
0.24,0.0076048374176,0.00043511390686
0.25,0.00738215446472,0.000432014465332
0.26,0.00675487518311,0.000420093536377
0.27,0.00701594352722,0.000409126281738
0.28,0.00732493400574,0.000408887863159
0.29,0.00739479064941,0.000406980514526
0.3,0.00770020484924,0.000404834747314
0.31,0.00818419456482,0.000398874282837
0.32,0.00819611549377,0.000395059585571
0.33,0.00874614715576,0.000393867492676
0.34,0.00904989242554,0.000395059585571
0.35,0.00907778739929,0.000389099121094
0.36,0.00940680503845,0.000385999679565
0.37,0.0095899105072,0.000385046005249
0.38,0.0100209712982,0.000381946563721
0.39,0.0100898742676,0.00037407875061
0.4,0.0100810527802,0.000372886657715
0.41,0.0109560489655,0.00036883354187
0.42,0.0112211704254,0.000366926193237
0.43,0.0113871097565,0.000357866287231
0.44,0.0115730762482,0.000355005264282
0.45,0.0121831893921,0.000357866287231
0.46,0.0123081207275,0.000351905822754
0.47,0.0127289295197,0.000349998474121
0.48,0.0129780769348,0.000346899032593
0.49,0.013396024704,0.00034499168396
0.5,0.0141699314117,0.000344038009644
0.51,0.0140941143036,0.000337839126587
0.52,0.0149009227753,0.000339031219482
0.53,0.0162119865417,0.000355005264282
0.54,0.0178260803223,0.000404834747314
0.55,0.0175139904022,0.000332117080688
0.56,0.0150549411774,0.00032114982605
0.57,0.0158469676971,0.000318050384521
0.58,0.0176539421082,0.000387907028198
0.59,0.0190980434418,0.000380039215088
0.6,0.0189580917358,0.000375986099243
0.61,0.0165679454803,0.00029993057251
0.62,0.0161080360413,0.000292062759399
0.63,0.0164618492126,0.000287055969238
0.64,0.0165808200836,0.000283002853394
0.65,0.0168080329895,0.000287055969238
0.66,0.0178809165955,0.000281095504761
0.67,0.0182089805603,0.000273942947388
0.68,0.0181488990784,0.000266075134277
0.69,0.0184290409088,0.000261068344116
0.7,0.0188798904419,0.000252962112427
0.71,0.0190742015839,0.000250816345215
0.72,0.0201270580292,0.00025200843811
0.73,0.0203227996826,0.000244140625
0.74,0.0206871032715,0.000236988067627
0.75,0.0210680961609,0.000236988067627
0.76,0.0220041275024,0.000241041183472
0.77,0.0250949859619,0.000236034393311
0.78,0.0278408527374,0.000346183776855
0.79,0.0257251262665,0.00031590461731
0.8,0.0227560997009,0.000298023223877
0.81,0.0224771499634,0.00022292137146
0.82,0.0221209526062,0.000241041183472
0.83,0.0223250389099,0.00020694732666
0.84,0.0227589607239,0.000306129455566
0.85,0.0228190422058,0.000195980072021
0.86,0.0229229927063,0.00018310546875
0.87,0.0231411457062,0.000180006027222
0.88,0.0232980251312,0.000176906585693
0.89,0.0239551067352,0.000166893005371
0.9,0.0239281654358,0.000158786773682
0.91,0.0241429805756,0.000156879425049
0.92,0.0242350101471,0.000149965286255
0.93,0.024405002594,0.000143051147461
0.94,0.0248639583588,0.000138998031616
0.95,0.025463104248,0.000133991241455
0.96,0.0254740715027,0.000131130218506
0.97,0.0261518955231,0.000123023986816
0.98,0.0260679721832,0.000126123428345
0.99,0.0268030166626,0.000110864639282
