mean_fit_time,mean_score_time,mean_test_score,param_KNN__algorithm,param_KNN__leaf_size,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,std_fit_time,std_score_time,std_test_score
0.00428372621536,0.0262675285339,0.505077660809,ball_tree,1,manhattan,9,distance,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'distance', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9}",732,0.5,0.511927330174,0.513112164297,0.495260663507,0.00140076867824,0.00820983999614,0.00763988085138
0.00273221731186,0.0191724896431,0.503278041074,ball_tree,1,manhattan,10,uniform,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'uniform', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10}",904,0.5,0.497630331754,0.515481832543,0.5,0.000361540506159,0.00129376622583,0.0071119662078
0.00312548875809,0.0212567448616,0.505669422542,ball_tree,1,manhattan,10,distance,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'distance', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10}",682,0.5,0.511927330174,0.51429699842,0.49644549763,0.000940343208059,0.00377834207638,0.00759444691466
0.00296187400818,0.0209298729897,0.502686279341,ball_tree,1,manhattan,11,uniform,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'uniform', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11}",1046,0.5,0.49644549763,0.515481832543,0.498815165877,0.00034793832443,0.00121104612672,0.00749763238094
0.00258362293243,0.0186787247658,0.501798964406,ball_tree,1,manhattan,11,distance,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'distance', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11}",1125,0.5,0.495260663507,0.515481832543,0.49644549763,0.000320585785854,0.00112291530602,0.00809027027129
0.002610206604,0.0189177393913,0.499407582938,ball_tree,1,manhattan,12,uniform,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'uniform', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 12}",2145,0.5,0.498815165877,0.498815165877,0.5,0.000341908743459,0.00121755709566,0.000592417061611
0.00390553474426,0.0281470417976,0.501798309077,ball_tree,1,manhattan,12,distance,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'distance', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 12}",1153,0.5,0.495260663507,0.51429699842,0.497630331754,0.000812450306195,0.00463751757265,0.00740831823655
0.0043917298317,0.0355250835419,0.498815165877,ball_tree,1,manhattan,13,uniform,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'uniform', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13}",2352,0.5,0.49644549763,0.498815165877,0.5,0.000586033167516,0.000364932249924,0.00145111951587
0.00294411182404,0.0220319628716,0.501798309077,ball_tree,1,manhattan,13,distance,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'distance', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13}",1139,0.5,0.494075829384,0.515481832543,0.497630331754,0.00021470479984,0.00107107297616,0.00817695203831
0.0028829574585,0.0231201052666,0.499703791469,ball_tree,1,manhattan,14,uniform,"{'KNN__leaf_size': 1, 'KNN__algorithm': 'ball_tree', 'KNN__weights': 'uniform', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 14}",2002,0.5,0.498815165877,0.5,0.5,0.000326998751742,0.00234580371577,0.000513048224991
