Training Data Percentage,Train Time,Test Time
0.01,0.000723123550415,0.00513792037964
0.03,0.000505924224854,0.00879287719727
0.05,0.000538110733032,0.0135080814362
0.07,0.000550031661987,0.0155758857727
0.09,0.000576972961426,0.0213561058044
0.11,0.00069522857666,0.0231239795685
0.13,0.000960826873779,0.0248789787292
0.15,0.000648021697998,0.0259830951691
0.17,0.00073504447937,0.0303280353546
0.19,0.000735998153687,0.0317878723145
0.21,0.000737905502319,0.0331480503082
0.23,0.000762939453125,0.0343248844147
0.25,0.000784873962402,0.0347461700439
0.27,0.000811100006104,0.0358519554138
0.29,0.000909090042114,0.0384080410004
0.31,0.000895977020264,0.0407521724701
0.33,0.00101089477539,0.0427100658417
0.35,0.000982046127319,0.041885137558
0.37,0.000972986221313,0.0429470539093
0.39,0.00114297866821,0.0425660610199
0.41,0.00103211402893,0.0423130989075
0.43,0.00105094909668,0.042338848114
0.45,0.00107288360596,0.0419421195984
0.47,0.00109505653381,0.0414590835571
0.49,0.00113296508789,0.0413491725922
0.51,0.00114703178406,0.0394868850708
0.53,0.00119090080261,0.0388491153717
0.55,0.00122904777527,0.0399060249329
0.57,0.00125002861023,0.0377140045166
0.59,0.00126791000366,0.0370841026306
0.61,0.00141310691833,0.0401508808136
0.63,0.00150084495544,0.0391130447388
0.65,0.00153112411499,0.038302898407
0.67,0.00153517723083,0.0359618663788
0.69,0.00150799751282,0.0342268943787
0.71,0.00154685974121,0.0345652103424
0.73,0.00156593322754,0.0323030948639
0.75,0.00173711776733,0.0307588577271
0.77,0.0016770362854,0.0286569595337
0.79,0.0017569065094,0.0271439552307
0.81,0.00176501274109,0.0240008831024
0.83,0.00168704986572,0.0232150554657
0.85,0.00186610221863,0.0203959941864
0.87,0.00179314613342,0.0180439949036
0.89,0.00181198120117,0.0155229568481
0.91,0.00186991691589,0.0134971141815
0.93,0.00188302993774,0.0133540630341
0.95,0.00198197364807,0.00780701637268
0.97,0.00197696685791,0.00496315956116
0.99,0.00198698043823,0.00197505950928
