mean_fit_time,mean_score_time,mean_test_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,std_fit_time,std_score_time,std_test_score
0.159707427025,0.101565420628,0.4955800307,relu,10.0,"(25,)","{'MLP__hidden_layer_sizes': (25,), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",324,0.479905437352,0.49644549763,0.510742496051,0.495260663507,0.0203326360323,0.0277530642804,0.0109200229303
0.274794816971,0.00904929637909,0.511765965449,relu,10.0,"(50,)","{'MLP__hidden_layer_sizes': (50,), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",24,0.498817966903,0.536966824645,0.495260663507,0.516056545187,0.0954287919895,0.000704895536684,0.016537066077
0.449548184872,0.021031498909,0.499408893596,relu,10.0,"(100,)","{'MLP__hidden_layer_sizes': (100,), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",284,0.5,0.5,0.5,0.497630331754,0.109887065971,0.0286604088209,0.00102533862477
0.152819931507,0.0210977196693,0.505963665087,relu,10.0,"(25, 25)","{'MLP__hidden_layer_sizes': (25, 25), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",45,0.5,0.525039494471,0.498815165877,0.5,0.119284697833,0.0265076115454,0.0110240522288
0.12626928091,0.00341403484344,0.499703837946,relu,10.0,"(50, 50)","{'MLP__hidden_layer_sizes': (50, 50), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",271,0.498817966903,0.5,0.5,0.5,0.101468604501,0.00198493558825,0.000512212248405
0.341441035271,0.00797665119171,0.499704446798,relu,10.0,"(100, 100)","{'MLP__hidden_layer_sizes': (100, 100), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",265,0.5,0.5,0.5,0.498815165877,0.142665501656,0.00382315584698,0.000512669312386
0.172834217548,0.0200504660606,0.503117378155,relu,10.0,"(25, 25, 25)","{'MLP__hidden_layer_sizes': (25, 25, 25), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",68,0.497635933806,0.5,0.5,0.514871711064,0.102098120334,0.0165759804473,0.00684484236573
0.27528077364,0.00385320186615,0.514593206951,relu,10.0,"(50, 50, 50)","{'MLP__hidden_layer_sizes': (50, 50, 50), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",16,0.5,0.5,0.558372827804,0.5,0.070886930867,0.00224402388861,0.0252761758845
0.511476576328,0.00823873281479,0.5,relu,10.0,"(100, 100, 100)","{'MLP__hidden_layer_sizes': (100, 100, 100), 'MLP__activation': 'relu', 'MLP__alpha': 10.0}",90,0.5,0.5,0.5,0.5,0.102324267472,0.00273523001219,1.24044295321e-16
0.23245126009,0.0450972914696,0.506872739721,relu,3.1622776601683795,"(25,)","{'MLP__hidden_layer_sizes': (25,), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",41,0.498817966903,0.531042654028,0.498815165877,0.498815165877,0.116234692196,0.0306739633472,0.0139545065789
0.137999951839,0.00275558233261,0.521018339988,relu,3.1622776601683795,"(50,)","{'MLP__hidden_layer_sizes': (50,), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",10,0.545271867612,0.527409162717,0.5,0.511317208694,0.108181239717,0.00279354799551,0.017073751573
0.247953295708,0.00946819782257,0.506989100471,relu,3.1622776601683795,"(100,)","{'MLP__hidden_layer_sizes': (100,), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",39,0.498817966903,0.516666666667,0.5,0.512502042817,0.0897809596553,0.0117497281232,0.00774182222392
0.221505224705,0.0626639127731,0.502103968283,relu,3.1622776601683795,"(25, 25)","{'MLP__hidden_layer_sizes': (25, 25), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",81,0.510756501182,0.5,0.5,0.497630331754,0.0707496311078,0.0380519691987,0.00509545067721
0.351555526257,0.00645750761032,0.499111374408,relu,3.1622776601683795,"(50, 50)","{'MLP__hidden_layer_sizes': (50, 50), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",300,0.5,0.49644549763,0.5,0.5,0.138876216986,0.00363051432524,0.00153914467497
0.378362476826,0.00668221712112,0.5,relu,3.1622776601683795,"(100, 100)","{'MLP__hidden_layer_sizes': (100, 100), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.103022334688,0.000745898752364,1.24044295321e-16
0.246676325798,0.0382054448128,0.5,relu,3.1622776601683795,"(25, 25, 25)","{'MLP__hidden_layer_sizes': (25, 25, 25), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.0686415929513,0.0220675455729,1.24044295321e-16
0.413209319115,0.00953614711761,0.499703837946,relu,3.1622776601683795,"(50, 50, 50)","{'MLP__hidden_layer_sizes': (50, 50, 50), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",271,0.498817966903,0.5,0.5,0.5,0.0759788060343,0.00100095798386,0.000512212248405
0.390449225903,0.0199142098427,0.5,relu,3.1622776601683795,"(100, 100, 100)","{'MLP__hidden_layer_sizes': (100, 100, 100), 'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795}",90,0.5,0.5,0.5,0.5,0.0835814052259,0.0240243544006,1.24044295321e-16
0.129655838013,0.0799626111984,0.496744513384,relu,1.0,"(25,)","{'MLP__hidden_layer_sizes': (25,), 'MLP__activation': 'relu', 'MLP__alpha': 1.0}",322,0.495271867612,0.49644549763,0.5,0.495260663507,0.0861096753934,0.0496433570197,0.00194023363727
0.380731761456,0.00491958856583,0.51045438106,relu,1.0,"(50,)","{'MLP__hidden_layer_sizes': (50,), 'MLP__activation': 'relu', 'MLP__alpha': 1.0}",26,0.545271867612,0.497630331754,0.498815165877,0.5,0.23376531864,0.00227838797847,0.0201489404692
0.294981479645,0.00475347042084,0.502688900656,relu,1.0,"(100,)","{'MLP__hidden_layer_sizes': (100,), 'MLP__activation': 'relu', 'MLP__alpha': 1.0}",72,0.5,0.516666666667,0.5,0.494075829384,0.0389776200877,0.00155867098847,0.00842429793444
0.253749966621,0.0438635349274,0.504491933676,relu,1.0,"(25, 25)","{'MLP__hidden_layer_sizes': (25, 25), 'MLP__activation': 'relu', 'MLP__alpha': 1.0}",50,0.514302600473,0.504818325434,0.498815165877,0.5,0.0771730253927,0.0254143591129,0.00610178612433
0.360448420048,0.00772577524185,0.506900343463,relu,1.0,"(50, 50)","{'MLP__hidden_layer_sizes': (50, 50), 'MLP__activation': 'relu', 'MLP__alpha': 1.0}",40,0.533451536643,0.5,0.494075829384,0.5,0.0454269838148,0.00185890724397,0.0155412179148
0.330978691578,0.00817680358887,0.5,relu,1.0,"(100, 100)","{'MLP__hidden_layer_sizes': (100, 100), 'MLP__activation': 'relu', 'MLP__alpha': 1.0}",90,0.5,0.5,0.5,0.5,0.0501187225538,0.00710895272024,1.24044295321e-16
